編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOPMLLJLHMFFCA17DA,30,79.19,住家用,鋼筋混凝土造,76年2月4日,012,十一層
RPOPMLLJLHMFFCA17DA,30,3.81,共有部分,鋼筋混凝土造,76年2月4日,012,
RPOPMLLJLHMFFCA17DA,30,1.37,共有部分,鋼筋混凝土造,76年2月4日,012,
RPROMLMJLHMFFCA47DA,21,84.65,住家用,鋼筋混凝土造,84年8月29日,009,七層
RPROMLMJLHMFFCA47DA,21,13.23,共有部分,鋼筋混凝土造,84年8月29日,009,
RPROMLMJLHMFFCA47DA,21,39.06,見使用執照,鋼筋混凝土造,84年8月29日,009,地下一層 地下二層
RPROMLMJLHMFFCA47DA,21,.01,共有部分,鋼筋混凝土造,84年8月29日,009,
RPQNMLPLKHMFFCA67DA,,163.20,,加強磚造,,003,一層 二層 三層
RPWPMLMLKHMFFCA18DA,,190.96,見其他登記事項,鋼筋混凝土造,105年6月8日,014,五層
RPWPMLMLKHMFFCA18DA,,240.45,見其他登記事項,鋼筋混凝土造,105年6月8日,014,
RPXPMLMLKHMFFCA28DA,,190.96,見其他登記事項,鋼筋混凝土造,105年6月8日,014,八層
RPXPMLMLKHMFFCA28DA,,240.45,見其他登記事項,鋼筋混凝土造,105年6月8日,014,
RPOQMLMLKHMFFCA47DA,,190.96,見其他登記事項,鋼筋混凝土造,105年6月8日,014,十層
RPOQMLMLKHMFFCA47DA,,240.45,見其他登記事項,鋼筋混凝土造,105年6月8日,014,
RPQQMLMLKHMFFCA67DA,,190.96,見其他登記事項,鋼筋混凝土造,105年6月8日,014,十一層
RPQQMLMLKHMFFCA67DA,,240.45,見其他登記事項,鋼筋混凝土造,105年6月8日,014,
RPSQMLMLKHMFFCA87DA,,191.44,見其他登記事項,鋼筋混凝土造,105年6月8日,014,十層
RPSQMLMLKHMFFCA87DA,,240.65,見其他登記事項,鋼筋混凝土造,105年6月8日,014,
RPTQMLMLKHMFFCA97DA,,190.96,見其他登記事項,鋼筋混凝土造,105年6月8日,014,十二層
RPTQMLMLKHMFFCA97DA,,200.35,見其他登記事項,鋼筋混凝土造,105年6月8日,014,
RPUQMLMLKHMFFCA08DA,,190.96,見其他登記事項,鋼筋混凝土造,105年6月8日,014,八層
RPUQMLMLKHMFFCA08DA,,200.35,見其他登記事項,鋼筋混凝土造,105年6月8日,014,
