編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLQJLHMFFFA87DA,36,135.90,住家用,鋼筋混凝土造,69年12月15日,012,九層
RPOOMLQJLHMFFFA87DA,36,21.21,共有部分,鋼筋混凝土造,69年12月15日,012,
RPQQMLNLKHMFFCA67CA,9,33.31,住家用,鋼筋混凝土造,96年12月28日,007,六層
RPQQMLNLKHMFFCA67CA,9,10.71,共有部分,鋼筋混凝土造,96年12月28日,007,
RPQQMLNLKHMFFCA67CA,9,7.32,共有部分,鋼筋混凝土造,96年12月28日,007,
RPPPMLNKLHMFFCA47CA,39,96.36,商業用,鋼筋混凝土造,67年3月1日,011,一層 騎樓
RPPPMLNKLHMFFCA47CA,39,42.46,共有部分,鋼筋混凝土造,67年3月1日,011,
RPVPMLKKLHMFFCA77CA,31,96.31,住家用,鋼筋混凝土造,75年2月27日,005,三層
RPVPMLKKLHMFFCA77CA,31,3.43,共有部分,鋼筋混凝土造,75年2月27日,005,
RPWOMLRJLHMFFCA38CA,33,82.12,住家用,鋼筋混凝土造,72年8月23日,005,一層
RPWOMLRJLHMFFCA38CA,33,19.18,共有部分,鋼筋混凝土造,72年8月23日,005,
RPQQMLQJLHMFFCA87CA,1,201.86,住家用,鋼筋混凝土造,104年10月15日,011,四層
RPQQMLQJLHMFFCA87CA,1,134.93,見其他登記事項,鋼筋混凝土造,104年10月15日,011,
RPQQMLQJLHMFFCA87CA,1,.63,見其他登記事項,鋼筋混凝土造,104年10月15日,011,一層
RPQQMLQJLHMFFCA87CA,1,.29,見其他登記事項,鋼筋混凝土造,104年10月15日,011,
RPQQMLQJLHMFFCA87CA,1,22.24,停車空間,鋼筋混凝土造,104年10月15日,011,地下一層 地下二層 地下三層
RPQQMLQJLHMFFCA87CA,1,15.04,見其他登記事項,鋼筋混凝土造,104年10月15日,011,
RPVQMLQJLHMFFCA38CA,8,33.64,住家用,鋼筋混凝土造,98年1月23日,007,二層
RPVQMLQJLHMFFCA38CA,8,21.96,共有部分,鋼筋混凝土造,98年1月23日,007,
RPQNMLNLLHMFFCA47CA,40,35.29,住家用,鋼筋混凝土造,66年1月21日,010,五層
RPQNMLNLLHMFFCA47CA,40,6.07,共有部分,鋼筋混凝土造,66年1月21日,010,
RPXNMLLLLHMFFAA77CA,,170.47,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,六層
RPXNMLLLLHMFFAA77CA,,33.51,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPXNMLLLLHMFFAA77CA,,22.50,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPXNMLLLLHMFFAA77CA,,68.85,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPOOMLLLLHMFFAA96CA,,170.47,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,七層
RPOOMLLLLHMFFAA96CA,,33.51,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPOOMLLLLHMFFAA96CA,,22.50,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPOOMLLLLHMFFAA96CA,,68.85,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPPOMLLLLHMFFAA07CA,,174.21,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,六層
RPPOMLLLLHMFFAA07CA,,34.95,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPPOMLLLLHMFFAA07CA,,23.37,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPPOMLLLLHMFFAA07CA,,68.85,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPQOMLLLLHMFFAA17CA,,170.47,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,十五層
RPQOMLLLLHMFFAA17CA,,33.51,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPQOMLLLLHMFFAA17CA,,22.50,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPQOMLLLLHMFFAA17CA,,68.85,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPPNMLRJLHMFFAA37CA,,65.59,,鋼筋混凝土造,,004,四層 陽台
RPXOMLNLKHMFFAA97CA,28,104.89,住家用,鋼筋混凝土造,78年6月27日,012,八層
RPXOMLNLKHMFFAA97CA,28,26.12,共有部分,鋼筋混凝土造,78年6月27日,012,
RPUNMLLJLHMFFAA27CA,10,138.30,住家用,鋼筋混凝土造,96年2月1日,009,四層
RPUNMLLJLHMFFAA27CA,10,51.16,共有部分,鋼筋混凝土造,96年2月1日,009,
RPUNMLLJLHMFFAA27CA,10,30.24,共有部分,鋼筋混凝土造,96年2月1日,009,
RPUNMLLJLHMFFAA27CA,10,4.92,共有部分,鋼筋混凝土造,96年2月1日,009,
RPUOMLNLKHMFFBA77CA,39,43.68,商業用,鋼筋混凝土造,66年12月30日,010,九層
RPUOMLNLKHMFFBA77CA,39,5.95,共有部分,鋼筋混凝土造,66年12月30日,010,
RPUOMLNLKHMFFBA77CA,39,4.82,共有部分,鋼筋混凝土造,66年12月30日,010,
RPXOMLNLKHMFFBA08CA,,61.39,,加強磚造,,002,一層
RPQNMLOLKHMFFBA37CA,1,36.89,住家用,見其他登記事項,105年3月31日,026,十七層
RPQNMLOLKHMFFBA37CA,1,19.30,見其他登記事項,見其他登記事項,105年3月31日,026,
RPQNMLOLKHMFFBA37CA,1,1.51,見其他登記事項,見其他登記事項,105年3月31日,026,一層 二層
RPQNMLOLKHMFFBA37CA,1,.62,見其他登記事項,見其他登記事項,105年3月31日,026,
RPTNMLOLKHMFFBA67CA,31,76.94,住家用,鋼筋混凝土造,75年6月13日,005,四層
RPTNMLOLKHMFFBA67CA,31,3.83,共有部分,鋼筋混凝土造,75年6月13日,005,
RPROMLMLLHMFFAA37CA,3,.18,見其他登記事項,鋼骨鋼筋混凝土造,102年11月18日,012,一層
RPROMLMLLHMFFAA37CA,3,113.92,住家用,鋼筋混凝土造,102年11月18日,012,四層
RPROMLMLLHMFFAA37CA,3,6.66,見其他登記事項,鋼骨鋼筋混凝土造,102年11月18日,012,
RPROMLMLLHMFFAA37CA,3,42.43,見其他登記事項,見其他登記事項,102年11月18日,012,
RPROMLMLLHMFFAA37CA,3,54.04,見其他登記事項,鋼骨鋼筋混凝土造,102年11月18日,012,
RPROMLMLLHMFFAA37CA,3,.07,見其他登記事項,見其他登記事項,102年11月18日,012,
RPWNMLOLKHMFFBA97CA,,74.14,,加強磚造,,003,一層 騎樓
RPOOMLOLKHMFFBA27CA,,8.59,,鋼筋混凝土造,,004,四層
RPPOMLOLKHMFFBA37CA,2,127.79,住家用,鋼筋混凝土造,104年2月10日,018,十二層
RPPOMLOLKHMFFBA37CA,2,43.00,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,10.71,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,.05,見其他登記事項,鋼筋混凝土造,104年2月10日,018,一層
RPPOMLOLKHMFFBA37CA,2,.02,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,25.86,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,.61,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,11.67,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,.48,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,1.11,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,1.19,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPPOMLOLKHMFFBA37CA,2,1.19,見其他登記事項,鋼筋混凝土造,104年2月10日,018,
RPRNMLLJLHMFFBA07CA,,148.28,,加強磚造,,003,二層 三層
RPSNMLMJLHMFFBA27CA,30,76.94,住家用,鋼筋混凝土造,75年6月13日,005,四層
RPSNMLMJLHMFFBA27CA,30,3.83,共有部分,鋼筋混凝土造,75年6月13日,005,
RPPOMLLJLHMFFBA96CA,12,14.10,停車空間,鋼筋混凝土造,93年10月28日,012,地下二層
RPPOMLLJLHMFFBA96CA,12,24.38,共有部分,鋼筋混凝土造,93年10月28日,012,
RPPNMLOLKHMFFEA57CA,8,55.76,見其他登記事項,鋼筋混凝土造,97年11月11日,010,四層
RPPNMLOLKHMFFEA57CA,8,67.71,共有部分,鋼筋混凝土造,97年11月11日,010,
RPQNMLOLKHMFFEA67CA,38,103.35,住家用,鋼筋混凝土造,68年2月21日,004,三層
RPRNMLLLLHMFFEA57CA,29,196.42,住家用,鋼筋混凝土造,77年4月26日,005,一層
RPRNMLLLLHMFFEA57CA,29,2.16,共有部分,鋼筋混凝土造,77年4月26日,005,
RPRNMLLLLHMFFEA57CA,29,27.72,見使用執照,鋼筋混凝土造,77年4月26日,005,地下層
RPTPMLOLKHMFFEA18CA,40,67.35,住家用,鋼筋混凝土造,66年3月1日,004,三層
RPUPMLOLKHMFFEA28CA,39,99.12,住家用,鋼筋混凝土造,67年4月4日,004,二層
RPPOMLLJLHMFFEA27CA,40,75.28,住家用,鋼筋混凝土造,66年4月26日,004,一層
RPWPMLKKLHMFFDA97CA,1,58.66,見其他登記事項,鋼筋混凝土造,105年3月1日,006,二層
RPWPMLKKLHMFFDA97CA,1,61.94,見其他登記事項,鋼筋混凝土造,105年3月1日,006,
RPQNMLPLKHMFFDA67CA,22,163.73,見使用執照,鋼筋混凝土造,83年11月11日,004,二層
RPQNMLPLKHMFFDA67CA,22,28.77,共有部分,鋼筋混凝土造,83年11月11日,004,
RPQNMLPLKHMFFDA67CA,22,92.15,共有部分,鋼筋混凝土造,83年11月11日,004,
RPRNMLPLKHMFFDA77CA,22,163.73,見使用執照,鋼筋混凝土造,83年11月11日,004,三層
RPRNMLPLKHMFFDA77CA,22,28.77,共有部分,鋼筋混凝土造,83年11月11日,004,
RPRNMLPLKHMFFDA77CA,22,92.15,共有部分,鋼筋混凝土造,83年11月11日,004,
RPWNMLLJLHMFFDA77CA,,46.38,見其他登記事項,鋼筋混凝土造,,012,十一層
RPWNMLLJLHMFFDA77CA,,17.65,共有部分,鋼筋混凝土造,,012,
RPQOMLOKLHMFFDA67CA,,100.21,住家用,鋼筋混凝土造,,004,二層 陽台
RPWNMLQJLHMFFDA28CA,38,77.55,住家用,鋼筋混凝土造,67年9月30日,004,一層
RPPNMLRJLHMFFDA67CA,32,100.54,住家用,鋼筋混凝土造,74年5月17日,005,五層
RPPNMLRJLHMFFDA67CA,32,6.16,共有部分,鋼筋混凝土造,74年5月17日,005,
RPPNMLRJLHMFFDA67CA,32,2.18,見使用執照,鋼筋混凝土造,74年5月17日,005,地下層
RPPNMLSKLHMFFDA87CA,14,601.28,見使用執照,見其他登記事項,92年1月30日,021,三層
RPPNMLSKLHMFFDA87CA,14,311.07,共有部分,見其他登記事項,92年5月30日,021,
RPPNMLSKLHMFFDA87CA,14,515.23,見使用執照,見其他登記事項,92年1月30日,021,三層
RPPNMLSKLHMFFDA87CA,14,237.53,共有部分,見其他登記事項,92年5月30日,021,
RPPNMLSKLHMFFDA87CA,14,266.45,共有部分,見其他登記事項,92年5月30日,021,
RPPNMLSKLHMFFDA87CA,14,237.53,共有部分,見其他登記事項,92年5月30日,021,
RPOOMLQJMHMFFDA67CA,1,45.95,見其他登記事項,鋼筋混凝土造,105年3月1日,006,四層
RPOOMLQJMHMFFDA67CA,1,21.18,見其他登記事項,鋼筋混凝土造,105年3月1日,006,
RPRNMLPLKHMFFCA77DA,33,83.56,住家用,鋼筋混凝土造,73年6月1日,007,六層
RPRNMLPLKHMFFCA77DA,33,9.55,共有部分,鋼筋混凝土造,73年6月1日,007,
RPOOMLOLKHMFFCA47DA,9,60.78,住家用,鋼筋混凝土造,97年6月19日,007,七層
RPOOMLOLKHMFFCA47DA,9,34.49,共有部分,鋼筋混凝土造,97年6月19日,010,
RPOOMLOLKHMFFCA47DA,9,10.48,共有部分,鋼筋混凝土造,97年6月19日,007,
RPUNMLOLKHMFFBA87DA,39,7.08,住商用,鋼筋混凝土造,66年8月22日,011,九層
RPUNMLOLKHMFFBA87DA,39,1.63,共有部分,鋼筋混凝土造,66年8月22日,011,
RPQNMLPLKHMFFBA57DA,,58.68,住家用,鋼筋混凝土造,,004,四層
RPPNMLOJLHMFFBA27DA,32,43.44,住家用,鋼筋混凝土造,73年9月21日,005,四層
RPWNMLPKLHMFFFA48CA,35,137.86,住家用,鋼筋混凝土造,70年12月4日,007,四層
RPWNMLPKLHMFFFA48CA,35,7.69,共有部分,鋼筋混凝土造,70年12月4日,007,
RPXNMLNLKHMFFFA38CA,,54.82,住家用,鋼筋混凝土造,,012,八層 陽台
RPXNMLNLKHMFFFA38CA,,8.17,共有部分,鋼筋混凝土造,,012,
RPXNMLNLKHMFFFA38CA,,.02,共有部分,鋼筋混凝土造,,012,
RPXNMLNLKHMFFFA38CA,,4.92,見使用執照,鋼筋混凝土造,,012,避難室兼停車場
RPTNMLOLKHMFFFA08CA,21,23.20,商業用,鋼筋混凝土造,85年7月25日,009,地下二層
RPTNMLOLKHMFFFA08CA,21,9.05,共有部分,鋼筋混凝土造,85年7月25日,009,
RPTNMLOLKHMFFFA08CA,21,1.12,共有部分,鋼筋混凝土造,85年7月25日,009,
RPTNMLOLKHMFFFA08CA,21,3.76,共有部分,鋼筋混凝土造,85年7月25日,009,
RPTNMLMJLHMFFFA77CA,1,91.21,見其他登記事項,鋼筋混凝土造,104年10月8日,013,七層
RPTNMLMJLHMFFFA77CA,1,35.10,見其他登記事項,鋼筋混凝土造,104年10月8日,013,
RPTNMLMJLHMFFFA77CA,1,18.96,見其他登記事項,鋼筋混凝土造,104年10月8日,013,
RPPNMLRLLHMFFEA97CA,9,.16,見其他登記事項,鋼筋混凝土造,97年1月30日,009,一層
RPPNMLRLLHMFFEA97CA,9,.11,共有部分,鋼筋混凝土造,97年1月30日,009,
RPPNMLRLLHMFFEA97CA,9,14.63,共有部分,鋼筋混凝土造,97年1月30日,009,
RPPNMLRLLHMFFEA97CA,9,22.20,住家用,鋼筋混凝土造,97年1月30日,009,三層
RPPNMLRLLHMFFEA97CA,9,14.09,共有部分,鋼筋混凝土造,97年1月30日,009,
RPQNMLOJLHMFFBA37DA,31,43.17,住家用,鋼筋混凝土造,74年12月30日,005,三層
RPQNMLOJLHMFFBA37DA,31,1.85,共有部分,鋼筋混凝土造,74年12月30日,005,
RPRNMLOLLHMFFBA67DA,,62.25,住家用,加強磚造,,002,一層 二層
RPPNMLOJLHMFFAA17DA,34,20.16,共有部分,鋼筋混凝土造,72年2月11日,007,
RPPNMLOJLHMFFAA17DA,34,127.41,住家用,鋼筋混凝土造,72年2月11日,007,三層
RPPNMLOJLHMFFAA17DA,34,.92,共有部分,鋼筋混凝土造,72年2月11日,007,
RPOPMLNJLHMFFCA37DA,11,74.72,住家用,鋼筋混凝土造,94年9月14日,012,五層
RPOPMLNJLHMFFCA37DA,11,43.00,共有部分,鋼筋混凝土造,94年9月14日,013,
RPOPMLNJLHMFFCA37DA,11,20.95,共有部分,鋼筋混凝土造,94年9月14日,012,
RPOPMLNJLHMFFCA37DA,10,.70,共有部分,見其他登記事項,96年6月13日,001,
RPVNMLOLKHMFFCA08DA,35,25.38,住家用,鋼筋混凝土造,70年12月8日,013,九層
RPVNMLOLKHMFFCA08DA,35,8.90,共有部分,鋼筋混凝土造,70年12月8日,013,
RPUOMLRKLHMFFDA38CA,6,158.34,見其他登記事項,鋼筋混凝土造,100年3月4日,015,八層
RPUOMLRKLHMFFDA38CA,6,63.16,見其他登記事項,鋼筋混凝土造,100年3月4日,015,
RPUOMLRKLHMFFDA38CA,6,8.30,見其他登記事項,鋼筋混凝土造,100年3月4日,015,
RPUOMLRKLHMFFDA38CA,6,39.32,見其他登記事項,鋼筋混凝土造,100年3月4日,015,
RPQPMLOLKHMFFDA77CA,21,25.38,住家用,鋼筋混凝土造,84年12月13日,011,十層 電梯樓梯間
RPQPMLOLKHMFFDA77CA,21,2.90,共有部分,鋼筋混凝土造,84年12月13日,011,
RPSPMLLJLHMFFDA57CA,12,141.82,見其他登記事項,見其他登記事項,93年12月16日,017,十二層
RPSPMLLJLHMFFDA57CA,12,1.17,共有部分,見其他登記事項,93年12月16日,017,
RPSPMLLJLHMFFDA57CA,12,.87,共有部分,見其他登記事項,93年12月16日,017,
RPSPMLLJLHMFFDA57CA,12,3.63,共有部分,見其他登記事項,93年12月16日,017,
RPSPMLLJLHMFFDA57CA,12,1.31,共有部分,見其他登記事項,93年12月16日,017,
RPSPMLLJLHMFFDA57CA,12,93.82,共有部分,見其他登記事項,93年12月16日,017,
RPSPMLLJLHMFFDA57CA,12,34.96,共有部分,見其他登記事項,93年12月16日,017,
RPSPMLLJLHMFFDA57CA,12,3.68,共有部分,見其他登記事項,93年12月16日,017,
RPTPMLLJLHMFFDA67CA,12,225.75,見其他登記事項,見其他登記事項,93年12月16日,017,十二層
RPTPMLLJLHMFFDA67CA,12,1.38,共有部分,見其他登記事項,93年12月16日,017,
RPTPMLLJLHMFFDA67CA,12,5.77,共有部分,見其他登記事項,93年12月16日,017,
RPTPMLLJLHMFFDA67CA,12,2.09,共有部分,見其他登記事項,93年12月16日,017,
RPTPMLLJLHMFFDA67CA,12,1.86,共有部分,見其他登記事項,93年12月16日,017,
RPTPMLLJLHMFFDA67CA,12,11.05,共有部分,見其他登記事項,93年12月16日,017,
RPTPMLLJLHMFFDA67CA,12,149.35,共有部分,見其他登記事項,93年12月16日,017,
RPTPMLLJLHMFFDA67CA,12,104.89,共有部分,見其他登記事項,93年12月16日,017,
RPTPMLQJLHMFFDA18CA,42,110.13,住家用,鋼筋混凝土造,63年8月15日,008,陽台 七層
RPPQMLQJLHMFFDA87CA,45,117.04,住家用,鋼筋混凝土造,60年12月20日,004,二層
RPVOMLNJLHMFFDA97CA,,59.20,,加強磚造,,002,一層 二層
RPTNMLNJLHMFFEA77CA,43,96.76,住家用,鋼筋混凝土造,62年10月24日,004,四層
RPTNMLLJLHMFFEA57CA,37,100.59,住家用,鋼筋混凝土造,68年11月13日,004,三層
RPXOMLOLKHMFFEA48CA,36,65.69,住家用,鋼筋混凝土造,69年8月8日,004,一層
RPPPMLOLKHMFFEA77CA,44,111.16,住家用,鋼筋混凝土造,61年11月29日,004,一層
RPXNMLLJLHMFFBA67CA,40,67.39,住家用,鋼筋混凝土造,66年1月28日,005,三層
RPTOMLOLKHMFFBA77CA,5,.02,見其他登記事項,見其他登記事項,100年9月23日,027,一層
RPTOMLOLKHMFFBA77CA,5,.00,見其他登記事項,見其他登記事項,100年9月23日,027,
RPTOMLOLKHMFFBA77CA,5,.67,見其他登記事項,見其他登記事項,100年9月23日,027,
RPTOMLOLKHMFFBA77CA,5,.00,見其他登記事項,見其他登記事項,101年3月20日,027,
RPTOMLOLKHMFFBA77CA,5,.01,見其他登記事項,見其他登記事項,101年3月20日,027,
RPTOMLOLKHMFFBA77CA,5,2.27,見其他登記事項,見其他登記事項,101年3月20日,027,
RPTOMLOLKHMFFBA77CA,5,3.45,見其他登記事項,見其他登記事項,101年3月20日,027,
RPTOMLOLKHMFFBA77CA,5,.00,見其他登記事項,見其他登記事項,100年9月23日,027,
RPTOMLOLKHMFFBA77CA,5,5.82,見其他登記事項,見其他登記事項,100年9月23日,027,
RPTOMLOLKHMFFBA77CA,5,5.23,見其他登記事項,見其他登記事項,100年9月23日,027,
RPTOMLOLKHMFFBA77CA,5,1.91,見其他登記事項,見其他登記事項,100年9月23日,027,
RPTOMLOLKHMFFBA77CA,5,.96,見其他登記事項,見其他登記事項,100年9月23日,027,
RPTOMLOLKHMFFBA77CA,5,122.62,住家用,見其他登記事項,101年3月20日,027,九層
RPTOMLOLKHMFFBA77CA,5,.42,見其他登記事項,見其他登記事項,101年3月20日,027,
RPTOMLOLKHMFFBA77CA,5,42.05,見其他登記事項,見其他登記事項,101年3月20日,027,
RPTOMLOLKHMFFBA77CA,5,.09,見其他登記事項,見其他登記事項,101年3月20日,027,
RPTOMLOLKHMFFBA77CA,5,14.17,見其他登記事項,見其他登記事項,100年9月23日,027,
RPTOMLOLKHMFFBA77CA,5,.23,見其他登記事項,見其他登記事項,100年9月23日,027,
RPQNMLQJLHMFFBA47CA,12,.49,住家用,鋼筋混凝土造,93年10月28日,012,一層
RPQNMLQJLHMFFBA47CA,12,.03,共有部分,鋼筋混凝土造,93年10月28日,012,
RPQNMLQJLHMFFBA47CA,12,.07,共有部分,鋼筋混凝土造,93年10月28日,012,
RPQNMLQJLHMFFBA47CA,12,117.37,住家用,鋼筋混凝土造,93年10月28日,012,七層
RPQNMLQJLHMFFBA47CA,12,43.78,共有部分,鋼筋混凝土造,93年10月28日,012,
RPQNMLQJLHMFFBA47CA,12,8.02,共有部分,鋼筋混凝土造,93年10月28日,012,
RPQNMLQJLHMFFBA47CA,12,36.95,共有部分,鋼筋混凝土造,93年10月28日,012,
RPSOMLOLKHMFFAA57CA,,99.52,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,017,四層
RPSOMLOLKHMFFAA57CA,,90.25,見其他登記事項,鋼骨鋼筋混凝土造,105年9月30日,017,
RPTOMLOLKHMFFAA67CA,5,118.26,住家用,鋼筋混凝土造,100年10月24日,012,三層
RPTOMLOLKHMFFAA67CA,5,6.59,見其他登記事項,鋼筋混凝土造,100年10月24日,012,
RPTOMLOLKHMFFAA67CA,5,53.50,見其他登記事項,鋼筋混凝土造,100年10月24日,012,
RPTOMLOLKHMFFAA67CA,5,9.60,見其他登記事項,鋼筋混凝土造,100年10月24日,012,
RPTOMLOLKHMFFAA67CA,5,15.96,見其他登記事項,鋼筋混凝土造,100年10月24日,012,
RPPNMLQKLHMFFAA37CA,,47.47,見其他登記事項,鋼筋混凝土造,105年10月21日,011,四層
RPPNMLQKLHMFFAA37CA,,32.05,見其他登記事項,鋼筋混凝土造,105年10月21日,011,
RPVNMLLLLHMFFAA57CA,,170.47,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,十層
RPVNMLLLLHMFFAA57CA,,33.51,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPVNMLLLLHMFFAA57CA,,22.50,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPVNMLLLLHMFFAA57CA,,68.85,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPWNMLLLLHMFFAA67CA,,174.21,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,六層
RPWNMLLLLHMFFAA67CA,,34.95,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPWNMLLLLHMFFAA67CA,,23.37,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPWNMLLLLHMFFAA67CA,,68.85,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,019,
RPXNMLPKLHMFFAA08CA,,47.47,見其他登記事項,鋼筋混凝土造,105年10月21日,011,三層
RPXNMLPKLHMFFAA08CA,,32.05,見其他登記事項,鋼筋混凝土造,105年10月21日,011,
RPPNMLNJLHMFFAA96CA,30,55.76,住家用,鋼筋混凝土造,76年3月28日,011,八層
RPPNMLNJLHMFFAA96CA,30,20.93,共有部分,鋼筋混凝土造,76年3月28日,011,
RPVOMLMJLHMFFAA57CA,,73.70,,鋼筋混凝土造,,004,一層
RPXNMLNJLHMFFAA77CA,,99.87,,鋼筋混凝土造,,004,二層 陽台
RPUNMLMLLHMFFCA77CA,1,76.75,住家用,鋼筋混凝土造,105年6月1日,013,十一層
RPUNMLMLLHMFFCA77CA,1,65.32,見其他登記事項,鋼筋混凝土造,105年6月1日,013,
RPSOMLKLLHMFFCA47CA,1,51.09,住家用,見其他登記事項,105年6月2日,012,八層
RPSOMLKLLHMFFCA47CA,1,27.36,見其他登記事項,見其他登記事項,105年6月2日,012,
RPSOMLKLLHMFFCA47CA,1,14.74,停車空間,見其他登記事項,105年6月2日,012,地下一層 地下二層 地下三層
RPSOMLKLLHMFFCA47CA,1,.84,見其他登記事項,見其他登記事項,105年6月2日,012,
RPSOMLKLLHMFFCA47CA,1,31.67,見其他登記事項,見其他登記事項,105年6月2日,012,
RPPOMLLJLHMFFCA07CA,8,49.61,住家用,鋼筋混凝土造,97年11月28日,008,三層
RPPOMLLJLHMFFCA07CA,8,19.83,共有部分,鋼筋混凝土造,97年11月28日,008,
RPPOMLLJLHMFFCA07CA,8,6.76,共有部分,鋼筋混凝土造,97年11月28日,008,
RPUPMLOLKHMFFCA08CA,29,57.32,商業用,鋼筋混凝土造,76年8月26日,012,十一層
RPUPMLOLKHMFFCA08CA,29,7.11,共有部分,鋼筋混凝土造,76年8月26日,012,
RPUPMLOLKHMFFCA08CA,29,12.70,共有部分,鋼筋混凝土造,76年8月26日,012,
RPTNMLLJLHMFFCA37CA,21,21.56,商業用,鋼筋混凝土造,85年3月7日,009,八層
RPTNMLLJLHMFFCA37CA,21,21.35,共有部分,鋼筋混凝土造,85年3月7日,009,
RPTNMLLJLHMFFCA37CA,21,35.38,共有部分,鋼筋混凝土造,85年3月7日,009,
RPTNMLLJLHMFFCA37CA,21,13.25,商業用,鋼筋混凝土造,85年3月7日,009,八層
RPTNMLLJLHMFFCA37CA,21,14.05,商業用,鋼筋混凝土造,85年3月7日,009,八層
RPTNMLLJLHMFFCA37CA,21,22.77,商業用,鋼筋混凝土造,85年3月7日,009,八層
RPXPMLMJLHMFFCA08CA,,49.06,住家用,鋼筋混凝土造,105年9月13日,008,二層
RPXPMLMJLHMFFCA08CA,,14.83,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPXPMLMJLHMFFCA08CA,,26.16,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPRQMLMJLHMFFCA57CA,,33.33,住家用,鋼筋混凝土造,105年9月13日,008,六層
RPRQMLMJLHMFFCA57CA,,7.42,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPRQMLMJLHMFFCA57CA,,33.33,住家用,鋼筋混凝土造,105年9月13日,008,六層
RPRQMLMJLHMFFCA57CA,,17.76,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPRQMLMJLHMFFCA57CA,,7.42,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPRQMLMJLHMFFCA57CA,,17.76,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPUOMLMJLHMFFCA67CA,,49.26,住家用,鋼筋混凝土造,105年9月13日,008,四層
RPUOMLMJLHMFFCA67CA,,14.83,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPUOMLMJLHMFFCA67CA,,26.24,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPXOMLMJLHMFFCA97CA,8,80.11,共有部分,見其他登記事項,98年4月22日,009,
RPPPMLMJLHMFFCA27CA,,65.98,住家用,鋼筋混凝土造,105年9月13日,008,三層
RPPPMLMJLHMFFCA27CA,,14.83,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPPPMLMJLHMFFCA27CA,,35.10,見其他登記事項,鋼筋混凝土造,105年9月13日,008,
RPQPMLMJLHMFFCA37CA,8,395.09,見其他登記事項,見其他登記事項,98年4月22日,009,一層 夾層
RPQPMLMJLHMFFCA37CA,8,272.57,共有部分,見其他登記事項,98年4月22日,009,
RPQPMLMJLHMFFCA37CA,8,200.28,共有部分,見其他登記事項,98年4月22日,009,
RPQNMLPLKHMFFEA87DA,39,33.09,共有部分,鋼筋混凝土造,66年10月17日,007,
