timestamp,gym,gym_cap,pool,pool_cap,pool_temp
2017-04-19T18:24:02.663760+08:00,76,120,42,300,29
2017-04-19T18:25:02.033124+08:00,78,120,41,300,29
2017-04-19T18:26:02.418536+08:00,77,120,42,300,29
2017-04-19T18:27:02.741930+08:00,74,120,41,300,29
2017-04-19T18:28:02.149983+08:00,71,120,40,300,29
2017-04-19T18:29:02.465255+08:00,73,120,39,300,29
2017-04-19T18:30:02.830516+08:00,72,120,42,300,29
2017-04-19T18:31:02.218724+08:00,73,120,41,300,29
2017-04-19T18:32:02.554660+08:00,75,120,57,300,29
2017-04-19T18:33:02.256825+08:00,75,120,56,300,29
2017-04-19T18:34:02.773384+08:00,76,120,55,300,29
2017-04-19T18:35:02.109144+08:00,72,120,54,300,29
2017-04-19T18:36:02.562799+08:00,70,120,54,300,29
2017-04-19T18:37:02.813522+08:00,72,120,53,300,29
2017-04-19T18:38:02.172178+08:00,72,120,52,300,29
2017-04-19T18:39:02.567026+08:00,72,120,51,300,29
2017-04-19T18:40:01.938910+08:00,69,120,50,300,29
2017-04-19T18:41:02.327241+08:00,69,120,50,300,29
2017-04-19T18:42:02.566643+08:00,69,120,51,300,29
2017-04-19T18:43:02.888854+08:00,68,120,54,300,29
2017-04-19T18:44:02.100062+08:00,70,120,57,300,29
2017-04-19T18:45:02.566827+08:00,74,120,58,300,29
2017-04-19T18:46:01.898807+08:00,74,120,59,300,29
2017-04-19T18:47:02.285041+08:00,77,120,62,300,29
2017-04-19T18:48:02.611640+08:00,78,120,62,300,29
2017-04-19T18:49:01.869325+08:00,78,120,62,300,29
2017-04-19T18:50:02.221695+08:00,78,120,62,300,29
2017-04-19T18:51:02.455540+08:00,76,120,62,300,29
2017-04-19T18:52:02.724581+08:00,78,120,60,300,29
2017-04-19T18:53:01.951909+08:00,81,120,61,300,29
2017-04-19T18:54:02.364091+08:00,82,120,62,300,29
2017-04-19T18:55:02.607419+08:00,81,120,61,300,29
2017-04-19T18:56:02.858530+08:00,81,120,62,300,29
2017-04-19T18:57:02.117376+08:00,79,120,61,300,29
2017-04-19T18:58:02.413772+08:00,77,120,62,300,29
2017-04-19T18:59:02.684412+08:00,77,120,63,300,29
2017-04-19T19:00:02.040733+08:00,78,120,62,300,29
2017-04-19T19:01:02.340315+08:00,78,120,62,300,29
2017-04-19T19:02:02.659003+08:00,79,120,61,300,29
2017-04-19T19:03:01.989997+08:00,81,120,62,300,29
2017-04-19T19:04:02.413060+08:00,79,120,62,300,29
2017-04-19T19:05:02.712931+08:00,80,120,61,300,29
2017-04-19T19:06:02.097404+08:00,80,120,60,300,29
2017-04-19T19:07:02.431097+08:00,79,120,59,300,29
2017-04-19T19:08:02.628797+08:00,81,120,60,300,29
2017-04-19T19:09:02.012077+08:00,81,120,62,300,29
2017-04-19T19:10:02.291654+08:00,80,120,65,300,29
2017-04-19T19:11:02.573305+08:00,82,120,65,300,29
2017-04-19T19:12:02.747723+08:00,82,120,66,300,29
2017-04-19T19:13:02.020480+08:00,80,120,70,300,29
2017-04-19T19:14:02.269133+08:00,80,120,76,300,29
2017-04-19T19:15:02.478976+08:00,81,120,76,300,29
2017-04-19T19:16:02.892236+08:00,80,120,78,300,29
2017-04-19T19:17:02.101918+08:00,81,120,78,300,29
2017-04-19T19:18:02.397717+08:00,81,120,79,300,29
2017-04-19T19:19:02.611479+08:00,82,120,79,300,29
2017-04-19T19:20:02.802828+08:00,79,120,79,300,29
2017-04-19T19:21:01.978362+08:00,80,120,79,300,29
2017-04-19T19:22:02.151397+08:00,82,120,79,300,29
2017-04-19T19:23:02.323118+08:00,81,120,79,300,29
2017-04-19T19:24:02.622958+08:00,84,120,79,300,29
2017-04-19T19:25:02.847300+08:00,88,120,79,300,29
2017-04-19T19:26:02.059625+08:00,86,120,80,300,29
2017-04-19T19:27:02.387826+08:00,86,120,79,300,29
2017-04-19T19:28:02.638919+08:00,85,120,79,300,29
2017-04-19T19:29:01.868369+08:00,87,120,79,300,29
2017-04-19T19:30:02.179560+08:00,87,120,80,300,29
2017-04-19T19:31:02.497754+08:00,87,120,76,300,29
2017-04-19T19:32:02.789485+08:00,88,120,77,300,29
2017-04-19T19:33:01.955910+08:00,90,120,75,300,29
2017-04-19T19:34:02.499784+08:00,90,120,74,300,29
2017-04-19T19:35:02.870933+08:00,92,120,75,300,29
2017-04-19T19:36:02.176532+08:00,93,120,75,300,29
2017-04-19T19:37:02.442213+08:00,96,120,76,300,29
2017-04-19T19:38:02.696915+08:00,100,120,77,300,29
2017-04-19T19:39:02.141651+08:00,101,120,77,300,29
2017-04-19T19:40:02.528770+08:00,100,120,78,300,29
2017-04-19T19:41:02.757164+08:00,102,120,79,300,29
2017-04-19T19:42:02.172971+08:00,101,120,81,300,29
2017-04-19T19:43:02.363558+08:00,101,120,81,300,29
2017-04-19T19:44:02.579867+08:00,102,120,80,300,29
2017-04-19T19:45:01.909605+08:00,106,120,80,300,29
2017-04-19T19:46:02.197270+08:00,106,120,80,300,29
2017-04-19T19:47:02.412430+08:00,111,120,80,300,29
2017-04-19T19:48:02.664771+08:00,109,120,79,300,29
2017-04-19T19:49:01.911699+08:00,110,120,79,300,29
2017-04-19T19:50:02.208600+08:00,110,120,78,300,29
2017-04-19T19:51:02.558042+08:00,111,120,79,300,29
2017-04-19T19:52:02.923506+08:00,112,120,79,300,29
2017-04-19T19:53:02.127437+08:00,111,120,78,300,29
2017-04-19T19:54:02.489128+08:00,113,120,77,300,29
2017-04-19T19:55:02.786826+08:00,112,120,78,300,29
2017-04-19T19:56:02.116918+08:00,112,120,78,300,29
2017-04-19T19:57:02.460341+08:00,113,120,77,300,29
2017-04-19T19:58:02.692781+08:00,113,120,80,300,29
